0;10000;20000;
10753;3035;10452;2016-04-19 17:54:20.215000
10804;3129;10414;2016-04-19 17:54:20.324000
10777;3063;10372;2016-04-19 17:54:20.418000
10801;3067;10373;2016-04-19 17:54:20.512000
10814;3014;10384;2016-04-19 17:54:20.621000
10821;3053;10375;2016-04-19 17:54:20.730000
10814;3067;10410;2016-04-19 17:54:20.840000
10876;3038;10380;2016-04-19 17:54:20.949000
10840;3105;10425;2016-04-19 17:54:21.043000
nan;3145;10420;2016-04-19 17:54:21.137000
10835;3147;10389;2016-04-19 17:54:21.246000
10819;3146;10330;2016-04-19 17:54:21.355000
10798;3172;nan;2016-04-19 17:54:21.465000
10817;3166;10368;2016-04-19 17:54:21.574000
nan;3172;nan;2016-04-19 17:54:21.683000
10795;3211;nan;2016-04-19 17:54:21.777000
10782;nan;10449;2016-04-19 17:54:21.871000
10769;3211;nan;2016-04-19 17:54:21.980000
10741;3180;10538;2016-04-19 17:54:22.090000
10712;3098;10490;2016-04-19 17:54:22.199000
10730;nan;10529;2016-04-19 17:54:22.308000
10754;3209;10540;2016-04-19 17:54:22.418000
10754;nan;10579;2016-04-19 17:54:22.512000
10732;3177;nan;2016-04-19 17:54:22.621000
10716;3222;10524;2016-04-19 17:54:22.730000
10672;3258;10588;2016-04-19 17:54:22.840000
10662;nan;10611;2016-04-19 17:54:22.949000
10670;nan;10630;2016-04-19 17:54:23.058000
10689;nan;10617;2016-04-19 17:54:23.152000
10663;3269;10656;2016-04-19 17:54:23.246000
10644;3184;nan;2016-04-19 17:54:23.355000
10614;3269;10679;2016-04-19 17:54:23.465000
10599;nan;10653;2016-04-19 17:54:23.574000
10593;3154;10689;2016-04-19 17:54:23.683000
10627;nan;10666;2016-04-19 17:54:23.793000
10583;3099;10672;2016-04-19 17:54:23.887000
10577;3483;nan;2016-04-19 17:54:23.996000
10549;3629;10725;2016-04-19 17:54:24.105000
10516;nan;10741;2016-04-19 17:54:24.215000
10456;3331;nan;2016-04-19 17:54:24.324000
10473;3362;10778;2016-04-19 17:54:24.433000
10497;3348;10805;2016-04-19 17:54:24.527000
10483;3295;10779;2016-04-19 17:54:24.621000
10437;3253;10789;2016-04-19 17:54:24.730000
10393;3253;10824;2016-04-19 17:54:24.840000
10405;3176;nan;2016-04-19 17:54:24.949000
10433;3183;10895;2016-04-19 17:54:25.059000
10439;3273;10878;2016-04-19 17:54:25.152000
10409;3360;10880;2016-04-19 17:54:25.246000
10389;3411;10881;2016-04-19 17:54:25.355000
nan;3307;10914;2016-04-19 17:54:25.465000
nan;3250;10896;2016-04-19 17:54:25.574000
nan;3250;10936;2016-04-19 17:54:25.684000
nan;3324;10941;2016-04-19 17:54:25.777000
nan;3362;10919;2016-04-19 17:54:25.871000
nan;3309;10945;2016-04-19 17:54:25.965000
nan;3126;10990;2016-04-19 17:54:26.074000
10287;3113;11011;2016-04-19 17:54:26.184000
10237;3032;11015;2016-04-19 17:54:26.293000
10245;nan;11031;2016-04-19 17:54:26.402000
10205;3606;11082;2016-04-19 17:54:26.512000
nan;3529;11150;2016-04-19 17:54:26.605000
10169;nan;11123;2016-04-19 17:54:26.699000
10182;3505;11157;2016-04-19 17:54:26.824000
10187;3724;11095;2016-04-19 17:54:26.934000
10196;3541;nan;2016-04-19 17:54:27.043000
10151;nan;11156;2016-04-19 17:54:27.152000
10146;nan;11133;2016-04-19 17:54:27.246000
10158;nan;nan;2016-04-19 17:54:27.340000
10155;3141;nan;2016-04-19 17:54:27.449000
10078;3090;nan;2016-04-19 17:54:27.559000
10101;3074;nan;2016-04-19 17:54:27.668000
10121;3089;11351;2016-04-19 17:54:27.777000
10136;3106;nan;2016-04-19 17:54:27.887000
10067;3111;nan;2016-04-19 17:54:27.980000
nan;3176;nan;2016-04-19 17:54:28.074000
nan;3203;nan;2016-04-19 17:54:28.184000
nan;3194;11353;2016-04-19 17:54:28.293000
nan;3135;11400;2016-04-19 17:54:28.402000
nan;3117;11358;2016-04-19 17:54:28.496000
nan;3164;nan;2016-04-19 17:54:28.590000
nan;3130;nan;2016-04-19 17:54:28.684000
nan;3170;11459;2016-04-19 17:54:28.793000
nan;3170;11511;2016-04-19 17:54:28.902000
nan;3174;11507;2016-04-19 17:54:29.012000
nan;3160;nan;2016-04-19 17:54:29.105000
nan;3168;nan;2016-04-19 17:54:29.199000
nan;3140;nan;2016-04-19 17:54:29.293000
nan;3134;11434;2016-04-19 17:54:29.387000
nan;3161;11449;2016-04-19 17:54:29.496000
nan;nan;11516;2016-04-19 17:54:29.605000
