nan;nan;2400;7008;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:23.715000
nan;nan;2409;7026;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:23.955000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:24.179000
nan;nan;2436;7058;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:24.355000
nan;nan;2463;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:24.595000
nan;nan;2478;7109;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:24.835000
nan;nan;2487;7168;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:25.059000
nan;nan;2524;7228;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:25.235000
nan;nan;2543;7275;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:25.475000
nan;nan;2558;7314;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:25.698000
nan;nan;2580;7358;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:25.874000
nan;nan;2619;7407;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:26.114000
nan;nan;2641;7442;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:26.338000
nan;nan;2671;7494;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:26.530000
nan;nan;2704;7541;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:26.754000
nan;nan;2747;7571;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:26.994000
nan;nan;2772;7603;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:27.218000
nan;nan;2820;7637;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:27.393000
nan;nan;2863;7678;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:27.633000
nan;nan;3068;7720;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:27.873000
nan;nan;3111;7763;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:28.097000
nan;nan;nan;7806;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:28.273000
nan;nan;3196;7848;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:28.449000
nan;nan;nan;7876;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:28.625000
nan;nan;3516;7900;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:28.801000
nan;nan;3605;7924;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:29.040000
nan;nan;3490;7951;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:29.280000
nan;nan;3525;7976;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:29.504000
nan;nan;3545;8003;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:29.680000
nan;nan;3305;8032;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:29.856000
nan;nan;3280;8056;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:30.032000
nan;nan;3294;8068;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:30.208000
nan;nan;3318;8087;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:30.384000
nan;nan;3315;8104;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:30.560000
nan;nan;3326;8120;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:30.735000
nan;nan;3340;8144;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:30.911000
nan;nan;3363;8175;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:31.087000
nan;nan;3360;8199;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:31.263000
nan;nan;3369;8220;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:31.439000
nan;nan;3375;8246;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:31.615000
nan;nan;3392;8271;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:31.791000
nan;nan;3388;8294;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:31.967000
nan;nan;3406;8308;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:32.143000
nan;nan;3398;8325;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:32.318000
nan;nan;3379;8339;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:32.478000
nan;nan;3387;8355;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:32.654000
nan;nan;nan;8368;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:32.830000
nan;nan;3415;8397;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:33.070000
nan;nan;3409;8427;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:33.310000
nan;nan;3438;8465;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:33.550000
nan;nan;3458;8509;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:33.790000
nan;nan;3471;8546;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:34.045000
nan;nan;3523;8573;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:34.270000
nan;nan;nan;8622;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:34.509000
nan;nan;3672;8651;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:34.749000
nan;nan;nan;8674;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:34.989000
nan;nan;nan;8698;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:35.229000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:35.469000
nan;nan;3790;8740;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:35.709000
nan;nan;3935;8766;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:35.948000
nan;nan;nan;8805;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:36.188000
nan;nan;nan;8850;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:36.428000
nan;nan;nan;8907;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:36.668000
nan;nan;nan;8958;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:36.908000
nan;nan;nan;9006;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:37.148000
nan;nan;4047;9056;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:37.388000
nan;nan;4096;9102;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:37.644000
nan;nan;nan;9131;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:37.867000
nan;nan;4170;9162;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:38.107000
nan;nan;4238;9186;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:38.347000
nan;nan;nan;9222;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:38.587000
nan;nan;4214;9266;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:38.827000
nan;nan;4253;9322;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:39.067000
nan;nan;4268;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:39.307000
nan;nan;4238;9381;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:39.483000
nan;nan;4206;9441;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:39.658000
nan;9254;4237;9484;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:39.834000
nan;nan;nan;9512;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:40.010000
nan;nan;4254;9541;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:40.186000
nan;nan;4296;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:40.362000
nan;nan;4300;9559;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:40.538000
nan;8541;4327;9591;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:40.714000
nan;nan;4371;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:40.890000
nan;nan;4382;9633;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:41.067000
nan;nan;4411;9670;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:41.243000
nan;nan;4436;9714;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:41.419000
nan;nan;4456;9757;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:41.594000
nan;nan;4464;9801;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:41.770000
nan;nan;4493;9824;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:41.946000
nan;nan;4520;9855;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:42.122000
nan;nan;4553;9875;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:42.298000
nan;nan;4587;9906;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:42.474000
nan;nan;nan;9907;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:42.650000
nan;nan;4653;9924;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:42.826000
nan;nan;4695;9946;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:43.002000
nan;nan;4725;9976;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:43.177000
nan;7788;4742;9994;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:43.353000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:43.529000
nan;nan;4756;10053;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:43.705000
nan;nan;4725;10112;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:43.881000
nan;nan;4739;10140;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:44.057000
nan;nan;nan;10150;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:44.233000
nan;nan;4832;10159;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:44.409000
nan;nan;nan;10164;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:44.585000
nan;6988;4863;10169;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:44.760000
nan;nan;4910;10191;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:44.936000
nan;6186;nan;10225;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:45.112000
nan;6015;nan;10251;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:45.288000
nan;5858;nan;10321;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:45.464000
nan;nan;4975;10343;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:45.640000
nan;5774;5002;10351;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:45.816000
nan;nan;nan;10363;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:45.992000
nan;5739;5055;10357;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:46.168000
nan;5696;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:46.343000
nan;5651;5078;10327;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:46.519000
nan;5608;5108;10335;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:46.695000
nan;5570;5110;10379;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:46.871000
nan;5536;5133;10418;nan;nan;nan;nan;nan;nan;2016-03-12 11:49:47.063000
