0;5000;10000;15000;
nan;nan;2691;nan;2016-04-19 17:42:43.079000
11642;6732;2793;4295;2016-04-19 17:42:43.204000
11669;nan;2783;4288;2016-04-19 17:42:43.329000
11641;nan;2729;4308;2016-04-19 17:42:43.439000
11607;nan;2735;4358;2016-04-19 17:42:43.564000
11589;nan;2759;4361;2016-04-19 17:42:43.689000
11522;nan;nan;4320;2016-04-19 17:42:43.814000
11535;nan;2744;4360;2016-04-19 17:42:43.939000
11521;nan;2685;4393;2016-04-19 17:42:44.064000
11529;nan;2891;4380;2016-04-19 17:42:44.173000
11497;nan;2736;4410;2016-04-19 17:42:44.314000
11430;nan;2767;4435;2016-04-19 17:42:44.439000
11466;nan;2948;4410;2016-04-19 17:42:44.564000
11450;nan;2671;4454;2016-04-19 17:42:44.689000
11462;nan;2731;4439;2016-04-19 17:42:44.814000
11380;nan;2769;4503;2016-04-19 17:42:44.923000
11406;nan;2636;4556;2016-04-19 17:42:45.048000
11397;nan;2929;4510;2016-04-19 17:42:45.173000
11380;nan;2763;4599;2016-04-19 17:42:45.298000
11356;nan;2655;4557;2016-04-19 17:42:45.423000
11347;nan;2641;4490;2016-04-19 17:42:45.532000
11324;nan;2691;4593;2016-04-19 17:42:45.642000
11316;nan;2539;4571;2016-04-19 17:42:45.767000
11296;nan;2574;4607;2016-04-19 17:42:45.892000
11305;nan;2610;4619;2016-04-19 17:42:46.017000
11234;6445;2701;4581;2016-04-19 17:42:46.142000
11284;nan;2510;4675;2016-04-19 17:42:46.251000
11239;nan;2657;4644;2016-04-19 17:42:46.361000
11246;nan;2480;4626;2016-04-19 17:42:46.501000
11171;nan;2778;4668;2016-04-19 17:42:46.626000
nan;nan;2630;4639;2016-04-19 17:42:46.751000
11175;nan;2535;4721;2016-04-19 17:42:46.876000
11205;nan;2690;4735;2016-04-19 17:42:46.986000
11164;6300;2441;4772;2016-04-19 17:42:47.111000
11088;nan;2605;4750;2016-04-19 17:42:47.236000
11170;6251;2462;4760;2016-04-19 17:42:47.361000
11087;nan;2627;4791;2016-04-19 17:42:47.486000
nan;nan;2518;4774;2016-04-19 17:42:47.595000
11105;6167;2502;4770;2016-04-19 17:42:47.704000
11119;nan;2502;4816;2016-04-19 17:42:47.829000
11073;6157;2496;4808;2016-04-19 17:42:47.954000
11079;nan;2420;4807;2016-04-19 17:42:48.079000
11009;6149;2384;4836;2016-04-19 17:42:48.204000
11018;nan;2413;4849;2016-04-19 17:42:48.314000
10961;6124;2454;4903;2016-04-19 17:42:48.439000
10926;6130;2434;4854;2016-04-19 17:42:48.564000
10940;6109;2431;4906;2016-04-19 17:42:48.689000
10922;6053;2374;4821;2016-04-19 17:42:48.814000
10950;6089;2497;4847;2016-04-19 17:42:48.923000
10935;6048;2422;4905;2016-04-19 17:42:49.032000
10893;6097;2288;4922;2016-04-19 17:42:49.173000
10924;6093;2360;4961;2016-04-19 17:42:49.298000
10876;6069;2390;5074;2016-04-19 17:42:49.423000
10923;6051;2353;5001;2016-04-19 17:42:49.548000
nan;6081;2345;5441;2016-04-19 17:42:49.657000
10855;6039;2374;5071;2016-04-19 17:42:49.767000
10890;6047;2367;nan;2016-04-19 17:42:49.907000
10872;nan;2377;4991;2016-04-19 17:42:50.033000
10866;nan;2328;5020;2016-04-19 17:42:50.157000
10790;nan;2339;5036;2016-04-19 17:42:50.267000
10785;nan;2344;5043;2016-04-19 17:42:50.376000
nan;nan;2360;5010;2016-04-19 17:42:50.501000
nan;nan;2362;5065;2016-04-19 17:42:50.626000
nan;nan;2436;5036;2016-04-19 17:42:50.751000
10817;nan;2397;5111;2016-04-19 17:42:50.876000
10766;nan;2389;5078;2016-04-19 17:42:51.001000
nan;nan;2403;5093;2016-04-19 17:42:51.111000
10722;nan;2376;5137;2016-04-19 17:42:51.236000
10698;nan;2376;5156;2016-04-19 17:42:51.361000
10732;nan;2379;5197;2016-04-19 17:42:51.486000
10762;nan;2345;5132;2016-04-19 17:42:51.611000
10704;5922;2366;nan;2016-04-19 17:42:51.720000
10708;5917;2339;5138;2016-04-19 17:42:51.829000
10700;5998;2425;5143;2016-04-19 17:42:51.970000
10693;nan;2426;5157;2016-04-19 17:42:52.095000
nan;nan;2407;5170;2016-04-19 17:42:52.204000
10693;5852;2325;5151;2016-04-19 17:42:52.329000
nan;nan;2532;5147;2016-04-19 17:42:52.439000
10682;5842;2496;nan;2016-04-19 17:42:52.564000
10677;nan;2495;5205;2016-04-19 17:42:52.689000
10662;nan;2480;5244;2016-04-19 17:42:52.814000
10648;nan;2449;5260;2016-04-19 17:42:52.939000
10631;nan;2452;5230;2016-04-19 17:42:53.048000
10621;nan;2465;5152;2016-04-19 17:42:53.173000
10650;nan;2473;5292;2016-04-19 17:42:53.298000
10698;nan;2505;5237;2016-04-19 17:42:53.423000
nan;nan;2535;5137;2016-04-19 17:42:53.548000
10740;nan;2590;5287;2016-04-19 17:42:53.673000
nan;5953;2568;5278;2016-04-19 17:42:53.783000
