0;2500;5000;7500;10000;12500;15000;17500;20000;22500;
3077;3025;5358;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:20.277000
nan;3013;5342;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:20.517000
3549;2937;5248;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:20.741000
3561;2983;5252;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:20.916000
nan;2889;5252;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:21.157000
nan;2855;5228;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:21.332000
3524;2850;5214;8074;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:21.572000
nan;2909;5192;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:21.796000
nan;2871;5194;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:22.035000
nan;2865;5162;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:22.260000
nan;2823;5133;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:22.435000
nan;2810;5123;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:22.659000
nan;2861;5096;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:22.899000
3847;2857;5022;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:23.123000
3778;2811;5020;7873;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:23.299000
nan;2799;5061;7807;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:23.475000
nan;2782;5004;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:23.667000
2558;2740;4996;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:23.890000
2505;2764;4985;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:24.114000
2519;2763;4880;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:24.354000
nan;2758;4908;nan;nan;nan;nan;nan;nan;nan;2016-03-12 10:17:24.578000
