0;5000;10000;15000;20000;25000;30000;35000;40000;45000;
2512;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:41.519000
2512;4866;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:41.695000
2493;4812;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:41.935000
2507;4760;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:42.159000
2520;4830;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:42.351000
2453;4711;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:42.575000
2490;4749;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:42.815000
2530;4771;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:43.038000
2539;4755;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:43.214000
2554;4725;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:43.454000
2549;4589;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:43.678000
2568;4667;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:43.855000
2619;4568;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:44.095000
2642;4639;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:44.334000
2641;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:44.558000
2636;4689;9621;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:44.798000
2646;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:45.038000
2728;nan;9422;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:45.262000
2691;nan;9289;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:45.438000
2714;nan;9344;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:45.678000
2747;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:45.918000
nan;nan;9325;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:46.142000
2795;nan;9280;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:46.317000
2792;nan;9321;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:46.493000
2825;nan;9277;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:46.733000
2807;4381;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:46.973000
2841;4361;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:47.197000
2868;4336;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:47.373000
2920;4356;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:47.613000
2928;4338;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:47.853000
2943;4304;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:48.076000
2911;4304;9286;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:48.252000
2961;4352;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:48.492000
2987;4263;nan;13785;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:48.748000
2964;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:48.956000
2980;4223;9054;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:49.132000
3030;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:49.372000
3035;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:49.611000
3043;4279;8894;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:49.835000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:50.011000
4850;4080;8874;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:50.251000
nan;4118;8868;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:50.475000
nan;4059;8833;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:50.651000
nan;4017;8792;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:50.890000
nan;3991;8788;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:51.130000
4916;4095;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:51.370000
nan;4029;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:51.594000
nan;3972;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:51.770000
nan;3980;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:51.946000
3287;3958;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:52.186000
nan;4044;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:52.426000
3341;4026;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:52.666000
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:52.889000
5079;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:53.065000
3346;3903;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:53.305000
3376;nan;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:53.545000
3415;3852;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:53.785000
3670;3869;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:54.025000
3475;3804;nan;nan;nan;nan;nan;nan;nan;nan;2016-03-12 11:00:54.265000
